,Unnamed: 0,tender_id,tender_country,tender_year,tender_title,tender_mainCpv,tender_cpvs,tender_procedureType,buyer_id,buyer_name,buyer_city,buyer_country,buyer_postcode,bidder_id,bidder_name,bidder_city,bidder_country,bidder_postcode,bid_price,bid_price_EUR,bid_price_currency,tender_estimatedPrice,tender_estimatedPrice_EUR,tender_estimatedPrice_currency,tender_finalPrice,tender_finalPrice_EUR,tender_finalPrice_currency,tender_indicator_INTEGRITY_ADVERTISEMENT_PERIOD,tender_indicator_INTEGRITY_CALL_FOR_TENDER_PUBLICATION,tender_indicator_INTEGRITY_DECISION_PERIOD,tender_indicator_INTEGRITY_NEW_COMPANY,tender_indicator_INTEGRITY_PROCEDURE_TYPE,tender_indicator_INTEGRITY_SINGLE_BID,tender_indicator_INTEGRITY_TAX_HAVEN,tender_three_Cpvs
2968,3372,2d11388f-22d9-4c99-b6f8-813cf0c3349f,PL,2017.0,"Zadanie 1- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Bojowej Czołgów, Wozów Bojowych OSPWL Wędrzyn II etap, w ramach programu „GWARANCJA-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M;Zadanie 2- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Wozów Bojowych Lewej OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD; Zadanie 3- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Piechoty OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M.M;",35700000.0,35700000,NEGOTIATED_WITH_PUBLICATION,EU_body_3da3f68e2a524447aa61c2f0738d8604a5b21ddf1f2f83e30c4b2f8679031182,45 Wojskowy Oddział Gospodarczy w Wędrzynie,Wędrzyn,PL,69-211,EU_body_9732e9c8de0fd688e99a809d1dabb2c31be5cf92fe914634472b27ff5caf57df,Optimum-Tymiński i s-ka sp. j.,Warszawa,PL,02-676,97575.0,97575.0,EUR,,,,334089.0,334089.0,EUR,100.0,0.0,0.0,,0.0,0.0,100.0,357
2969,3373,2d11388f-22d9-4c99-b6f8-813cf0c3349f,PL,2017.0,"Zadanie 1- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Bojowej Czołgów, Wozów Bojowych OSPWL Wędrzyn II etap, w ramach programu „GWARANCJA-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M;Zadanie 2- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Wozów Bojowych Lewej OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD; Zadanie 3- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Piechoty OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M.M;",35700000.0,35700000,NEGOTIATED_WITH_PUBLICATION,EU_body_3da3f68e2a524447aa61c2f0738d8604a5b21ddf1f2f83e30c4b2f8679031182,45 Wojskowy Oddział Gospodarczy w Wędrzynie,Wędrzyn,PL,69-211,EU_body_9732e9c8de0fd688e99a809d1dabb2c31be5cf92fe914634472b27ff5caf57df,Optimum-Tymiński i s-ka sp. j.,Warszawa,PL,02-676,111530.0,111530.0,EUR,,,,334089.0,334089.0,EUR,100.0,0.0,0.0,,0.0,0.0,100.0,357
2970,3374,2d11388f-22d9-4c99-b6f8-813cf0c3349f,PL,2017.0,"Zadanie 1- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Bojowej Czołgów, Wozów Bojowych OSPWL Wędrzyn II etap, w ramach programu „GWARANCJA-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M;Zadanie 2- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Wozów Bojowych Lewej OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD; Zadanie 3- usługa wykonania przeglądu urządzeń wyposażenia bazy szkoleniowej Strzelnicy Piechoty OSPWL Wędrzyn, w ramach przedłużenia „GWARANCJI-24 miesiące” w systemie sterowania polem tarczowym AGAT M/ SZMARAGD M.M;",35700000.0,35700000,NEGOTIATED_WITH_PUBLICATION,EU_body_3da3f68e2a524447aa61c2f0738d8604a5b21ddf1f2f83e30c4b2f8679031182,45 Wojskowy Oddział Gospodarczy w Wędrzynie,Wędrzyn,PL,69-211,EU_body_9732e9c8de0fd688e99a809d1dabb2c31be5cf92fe914634472b27ff5caf57df,Optimum-Tymiński i s-ka sp. j.,Warszawa,PL,02-676,153731.0,153731.0,EUR,,,,334089.0,334089.0,EUR,100.0,0.0,0.0,,0.0,0.0,100.0,357
2978,3382,29d2c467-ff17-42ca-932e-d6ca2e6e1cae,PL,2017.0,Dostawa zapalników CK-125.,35300000.0,35300000,RESTRICTED,EU_body_6163592132660133dbbd8481120b91aa0118b0258a281ab537fda91b858e7384,3 Regionalna Baza Logistyczna,Kraków,PL,30-901,EU_body_8c81895d3e7ae73024a57bca22ff42213d7bfd3ed014d250cda2be1fa0bd5c90,Bydgoskie Zakłady Elektromechaniczne Belma S.A.,Białe Błota,PL,86-005,458170.0,458170.0,EUR,,,,1584381.12,1584381.12,EUR,100.0,0.0,0.0,,0.0,0.0,100.0,353
18440,21296,0429d20a-c363-401a-8fa4-02c3756c37ff,PL,2017.0,Dostawa części zamiennych do kołowych pojazdów transportowych (TECH/106/2017).,35421000.0,35421000,OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_1dbc146321512df6588eee681db6029c063fdf1d2a4dcf26bcbd48c149c5fe45,PRZEDSIĘBIORSTWO HANDLOWO-USŁUGOWE „STARKOP” LESZEK KUCHARSKI SPÓŁKA JAWNA,Starachowice,PL,27-200,130625.0,130625.0,EUR,,,,186917.0,186917.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,354
18441,21298,0429d20a-c363-401a-8fa4-02c3756c37ff,PL,2017.0,Dostawa części zamiennych do kołowych pojazdów transportowych (TECH/106/2017).,35421000.0,35421000,OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_edec7d72bfa7e56668b84993edb22e40f6fde67e278071b5906d62d58acc7104,Motorpol Sławomir Falkowski,Lubin,PL,59-300,39036.0,39036.0,EUR,,,,186917.0,186917.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,354
18442,21299,0429d20a-c363-401a-8fa4-02c3756c37ff,PL,2017.0,Dostawa części zamiennych do kołowych pojazdów transportowych (TECH/106/2017).,35421000.0,35421000,OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_edec7d72bfa7e56668b84993edb22e40f6fde67e278071b5906d62d58acc7104,Motorpol Sławomir Falkowski,Lubin,PL,59-300,17257.0,17257.0,EUR,,,,186917.0,186917.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,354
22371,25645,45bb297e-68fe-4cb6-9cf7-0678605052ba,PL,2017.0,53 dostawa części zamiennych do podwozia KTO ROSOMAK.,35421000.0,35421000,OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,EU_body_9fb2b7310491c92e1b118edec82c847c3a5e1c9f0dbefc9b22c178e14733501a,ROSOMAK S.A.,Siemianowice Ślaskie,PL,41-100,187898.0,187898.0,EUR,,,,187898.0,187898.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
22372,25646,45bb297e-68fe-4cb6-9cf7-0678605052ba,PL,2017.0,53 dostawa części zamiennych do podwozia KTO ROSOMAK.,35421000.0,35421000,OPEN,EU_body_876d39b0960b3fe5e3dde8e9a32dfa57017f5de695f9ce4ed96afa36efde9b6c,4 Regionalna Baza Logistyczna,Wrocław,PL,50-984,,,,,,,,,,,,187898.0,187898.0,EUR,100.0,0.0,0.0,100.0,100.0,0.0,100.0,354
25368,28937,9a2b00e3-72d3-4104-9093-b5a642f9bee6,PL,2017.0,Dostawę metalowych zaślepek zamka do pistoletu samopowtarzalnego P-99 kal. 9x19 mm Parabellum.,35341000.0,35341000,,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_3e58b84b1b02aeeb2ddfafbbad05f6e6da761c89c91810b60b3acc478fa42379,Fabryka Broni Łucznik – Radom Sp. z o.o.,Radom,PL,26-617,233143.0,233143.0,EUR,,,,1024390.24,1024390.24,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
32986,37471,18d2d33b-8a8e-410c-ad16-37c4b6735f3b,PL,2017.0,Zakup amunicji kal. 12.,35330000.0,35330000,OPEN,EU_body_65387145f0b24f1cac45806a0bfd6cfd9d25c43b560d20f2695d4a4286894610,Komenda Główna Policji,Warszawa,PL,02-642,EU_body_c14726bb475cd983ff4b73cb5585524a450061343251f9d7f7fb728151440666,Fabryka Amunicji Myśliwskiej Fam-Pionki Sp. z o.o.,Pionki,PL,26-670,,,,,,,537880.0,537880.0,EUR,100.0,0.0,0.0,,100.0,0.0,100.0,353
